Airport,IATA
淮安涟水机场,HIA
盐城南洋机场,YNZ
南京禄口国际机场,NKG
连云港白塔埠机场,LYG
苏南硕放国际机场,WUX
温州龙湾国际机场,WNZ
台州路桥机场,HYN
杭州萧山国际机场,HGH
宁波栎社国际机场,NGB
安庆天柱山机场,AQG
黄山屯溪机场,TXN
阜阳西关机场,FUG
福州长乐国际机场,FOC
泉州晋江机场,JJN
厦门高崎国际机场,XMN
赣州黄金机场,KOW
宜春明月山机场,YIC
景德镇罗家机场,JDZ
济宁曲阜机场,JNG
青岛流亭国际机场,TAO
临沂沭埠岭机场,LYI
东营胜利机场,DOY
洛阳北郊机场,LYA
南阳姜营机场,NNY
武汉天河国际机场,WUH
恩施许家坪机场,ENH
常德桃花源机场,CGD
张家界荷花国际机场,DYG
永州零陵机场,LLF
东莞机场,DGM
惠州平潭机场,HUZ
揭阳潮汕机场,SWA
佛山沙堤机场,FUO
珠海金湾机场,ZUH
柳州白莲机场,LZH
北海福成机场,BHY
梧州长洲岛机场,WUZ
海口美兰国际机场,HAK
重庆江北国际机场,CKG
黔江武陵山机场,JIQ
达州河市机场,DAX
九寨黄龙机场,JZH
攀枝花保安营机场,PZI
遂宁机场,SUN
甘孜康定机场,KGT
泸州蓝田机场,LZO
宜宾菜坝机场,YBP
安顺黄果树机场,AVA
贵阳龙洞堡国际机场,KWE
黎平机场,HZH
荔波机场,LLB
遵义新舟机场,ZYI
普洱思茅机场,SYM
临沧机场,LNJ
昭通机场,ZAT
保山云瑞机场,BSD
德宏芒市机场,LUM
昆明长水国际机场,KMG
阿里昆莎机场,NGQ
昌都邦达机场,BPX
林芝米林机场,LZY
西安咸阳国际机场,XIY
汉中西关机场,HZG
延安二十里堡机场,ENY
敦煌机场,DNH
兰州中川机场,LHW
天水麦积山机场,THQ
金昌金川机场,JIC
西宁曹家堡机场,XNN
玉树巴塘机场,YUS
固原六盘山机场,GYU
中卫沙坡头机场,ZHY
阿克苏机场,AKU
富蕴机场,FYN
和田机场,HTN
且末机场,IQM
乌鲁木齐地窝堡国..,URC
布尔津喀纳斯机场,KJI
克拉玛依机场,KRY
塔城机场,TCG
新源那拉提机场,NLT
香港国际机场,HKG
澳门国际机场,MFM
台北松山机场,TSA
高雄国际机场,KHH
北京首都国际机场,PEK
邯郸机场,HDG
唐山三女河机场,TVS
石家庄正定国际机场,SJW
吕梁机场,LLV
大同云冈机场,DAT
阿拉善右旗巴丹吉..,RHT
赤峰玉龙机场,CIF
额济纳旗桃来机场,EJN
满洲里西郊机场,NZH
阿尔山伊尔施机场,YIE
呼和浩特白塔国际机场,HET
通辽机场,TGO
锡林浩特机场,XIL
长海大长山岛机场,CNI
大连周水子国际机场,DLC
锦州小岭子机场,JNZ
长白山机场,NBS
长春龙嘉国际机场,CGQ
佳木斯东郊机场,JMU
伊春林都机场,LDS
大庆萨尔图机场,DQA
哈尔滨太平国际机场,HRB
齐齐哈尔三家子机场,NDG
上海浦东国际机场,PVG
南通兴东机场,NTG
扬州泰州机场,YTY
徐州观音机场,XUZ
常州奔牛机场,CZX
衢州机场,JUZ
舟山普陀山机场,HSN
义乌机场,YIW
池州九华山机场,JUH
合肥新桥国际机场,HFE
连城冠豸山机场,LCX
武夷山机场,WUS
井冈山机场,JGS
南昌昌北国际机场,KHN
九江庐山机场,JIU
潍坊机场,WEF
济南遥墙国际机场,TNA
烟台莱山国际机场,YNT
威海国际机场,WEH
郑州新郑国际机场,CGO
宜昌三峡机场,YIH
襄阳刘集机场,XFN
怀化芷江机场,HJJ
长沙黄花国际机场,CSX
深圳宝安国际机场,SZX
梅县长岗岌机场,MXZ
湛江机场,ZHA
韶关桂头机场,HSC
广州白云国际机场,CAN
百色巴马机场,AEB
南宁吴圩国际机场,NNG
桂林两江国际机场,KWL
三亚凤凰国际机场,SYX
万州五桥机场,WXN
稻城亚丁机场,DCY
南充高坪机场,NAO
成都双流国际机场,CTU
广元盘龙机场,GYS
绵阳南郊机场,MIG
西昌青山机场,XIC
毕节飞雄机场,BFJ
兴义机场,ACX
凯里黄平机场,KJH
铜仁凤凰机场,TEN
腾冲驼峰机场,TCZ
